,28079008,28079011,28079018,28079024,28079038,28079055
2016-12-13 18:00:00,5.1,7.5,3.87,5.4,14.6,5.8
2016-12-13 19:00:00,7.1,9.7,1.0,7.0,20.3,5.3
2016-12-13 20:00:00,7.3,12.5,1.0,8.7,22.0,9.2
2016-12-13 21:00:00,7.3,12.1,1.0,7.8,20.6,13.6
2016-12-13 22:00:00,6.3,11.0,0.81,8.4,18.7,12.5
2016-12-13 23:00:00,8.5,8.2,1.0,4.6,18.2,7.4
2016-12-14 00:00:00,10.2,9.8,0.93,3.7,16.9,4.9
2016-12-14 01:00:00,11.1,11.3,1.0,5.8,22.0,6.0
2016-12-14 02:00:00,9.8,8.4,1.0,5.1,14.6,6.7
2016-12-14 03:00:00,9.0,8.9,1.0,7.3,8.8,5.2
2016-12-14 04:00:00,13.0,8.2,1.0,6.5,8.0,4.7
2016-12-14 05:00:00,6.9,6.7,1.0,8.2,8.0,6.1
2016-12-14 06:00:00,2.9,6.2,1.0,4.6,7.1,7.1
2016-12-14 07:00:00,1.9,4.9,1.0,2.6,6.5,7.8
2016-12-14 08:00:00,2.0,4.7,1.0,2.0,7.0,8.5
2016-12-14 09:00:00,2.4,5.9,0.89,3.0,4.4,9.1
2016-12-14 10:00:00,4.3,6.8,2.9,2.9,6.6,12.1
2016-12-14 11:00:00,4.2,6.2,12.96,2.4,9.6,5.1
2016-12-14 12:00:00,2.6,7.0,14.03,3.3,12.6,6.2
2016-12-14 13:00:00,3.1,6.5,16.32,2.3,11.8,2.4
2016-12-14 14:00:00,3.6,6.9,17.51,2.4,9.7,1.8
2016-12-14 15:00:00,3.6,6.6,20.09,2.1,11.1,2.0
2016-12-14 16:00:00,2.8,7.6,26.12,2.3,8.4,1.9
2016-12-14 17:00:00,3.3,6.1,17.38,2.2,9.0,1.9
2016-12-14 18:00:00,3.6,5.8,3.87,2.1,8.7,2.8
2016-12-14 19:00:00,3.4,6.4,1.0,2.9,9.8,2.9
2016-12-14 20:00:00,4.7,6.8,1.0,4.6,9.9,5.4
2016-12-14 21:00:00,5.4,6.8,1.0,4.0,11.1,6.3
2016-12-14 22:00:00,4.8,6.0,0.81,3.5,11.8,5.1
2016-12-14 23:00:00,4.5,5.7,1.0,2.3,10.0,4.3
2016-12-15 00:00:00,2.1,5.2,0.93,2.2,7.0,2.6
2016-12-15 01:00:00,2.4,4.3,1.0,1.8,6.1,2.5
2016-12-15 02:00:00,1.9,2.8,1.0,1.3,4.4,1.7
2016-12-15 03:00:00,1.3,2.1,1.0,0.7,2.8,1.5
2016-12-15 04:00:00,1.2,1.8,1.0,0.7,2.2,1.3
2016-12-15 05:00:00,1.2,1.7,1.0,0.7,2.0,1.3
2016-12-15 06:00:00,1.1,1.6,1.0,0.6,2.2,1.3
2016-12-15 07:00:00,1.1,1.6,1.0,0.5,2.5,1.4
2016-12-15 08:00:00,1.2,1.9,1.0,0.4,3.5,1.2
2016-12-15 09:00:00,1.8,2.8,0.89,0.5,5.9,1.9
2016-12-15 10:00:00,3.2,4.7,2.9,0.8,9.6,2.9
2016-12-15 11:00:00,3.2,5.3,12.96,1.0,8.9,2.8
2016-12-15 12:00:00,2.9,5.2,14.03,1.8,10.1,2.7
2016-12-15 13:00:00,2.0,5.5,16.32,2.0,7.4,5.0
2016-12-15 14:00:00,2.4,7.1,17.51,2.2,7.5,3.8
2016-12-15 15:00:00,2.1,5.6,20.09,1.0,4.9,2.0
2016-12-15 16:00:00,2.0,6.4,26.12,0.9,4.7,1.9
2016-12-15 17:00:00,1.8,5.8,17.38,0.8,6.1,1.6
2016-12-15 18:00:00,1.9,6.8,3.87,1.2,5.7,2.4
2016-12-15 19:00:00,3.0,6.3,1.0,1.3,6.6,2.5
2016-12-15 20:00:00,3.8,7.6,1.0,1.7,9.0,3.3
2016-12-15 21:00:00,4.0,7.2,1.0,1.5,9.7,3.9
2016-12-15 22:00:00,4.0,7.0,0.81,2.0,9.5,2.8
2016-12-15 23:00:00,3.4,6.1,1.0,2.9,6.9,2.4
2016-12-16 00:00:00,2.8,6.1,0.93,2.9,6.6,2.4
2016-12-16 01:00:00,1.9,5.1,1.0,2.7,4.7,1.6
2016-12-16 02:00:00,1.5,4.4,1.0,1.6,3.8,1.5
2016-12-16 03:00:00,1.1,3.6,1.0,1.3,2.6,1.6
2016-12-16 04:00:00,0.9,3.1,1.0,1.3,2.4,1.4
2016-12-16 05:00:00,0.9,2.9,1.0,1.1,2.6,1.6
2016-12-16 06:00:00,0.8,2.4,1.0,1.0,2.0,1.4
2016-12-16 07:00:00,0.8,2.1,1.0,0.7,1.5,1.6
2016-12-16 08:00:00,0.9,2.9,1.0,0.6,1.8,1.4
2016-12-16 09:00:00,1.8,2.9,0.89,0.9,3.5,1.7
2016-12-16 10:00:00,2.3,5.5,2.9,1.0,4.0,2.5
2016-12-16 11:00:00,3.8,4.6,12.96,1.1,4.8,2.3
2016-12-16 12:00:00,5.6,5.2,14.03,2.5,6.0,2.0
2016-12-16 13:00:00,9.7,4.4,16.32,2.4,7.3,3.9
2016-12-16 14:00:00,6.4,4.6,17.51,1.7,9.6,2.0
2016-12-16 15:00:00,5.3,4.6,20.09,1.5,9.3,1.7
2016-12-16 16:00:00,3.9,3.5,26.12,1.4,13.3,1.2
2016-12-16 17:00:00,4.3,3.2,17.38,1.4,14.6,1.2
2016-12-16 18:00:00,4.1,3.6,3.87,1.1,12.7,1.2
2016-12-16 19:00:00,3.7,3.1,1.0,1.3,11.6,0.9
2016-12-16 20:00:00,3.8,3.0,1.0,1.4,11.5,1.1
2016-12-16 21:00:00,3.2,2.4,1.0,0.9,9.5,1.5
2016-12-16 22:00:00,2.6,2.3,0.81,0.7,9.8,1.1
2016-12-16 23:00:00,1.9,1.9,1.0,0.7,8.1,0.8
2016-12-17 00:00:00,1.6,1.4,0.93,0.4,6.2,0.5
2016-12-17 01:00:00,1.4,1.2,1.0,0.4,4.9,0.8
2016-12-17 02:00:00,1.2,1.1,1.0,0.4,4.1,0.9
2016-12-17 03:00:00,1.0,0.9,1.0,0.4,3.2,0.7
2016-12-17 04:00:00,1.0,1.0,1.0,0.3,2.8,0.6
2016-12-17 05:00:00,0.9,0.9,1.0,0.2,2.6,0.6
2016-12-17 06:00:00,0.7,0.8,1.0,0.3,2.4,0.4
